RepRapFirmware height map file v2 generated at 2020-09-27 16:38, min error -0.083, max error 0.038, mean -0.015, deviation 0.024
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
-120.00,120.10,-120.00,120.10,140.00,30.00,30.00,9,9
      0,      0, -0.043, -0.083, -0.045, -0.037,  0.019,      0,      0
      0, -0.003, -0.025, -0.040, -0.019, -0.035, -0.061, -0.025,      0
 -0.004, -0.045, -0.028, -0.024, -0.005, -0.006, -0.040, -0.018, -0.021
  0.035,  0.038, -0.011, -0.009, -0.030, -0.007, -0.031, -0.066, -0.047
  0.035, -0.010, -0.007, -0.004, -0.010, -0.009, -0.026, -0.006, -0.010
  0.006,  0.018,  0.004, -0.011, -0.025, -0.006, -0.011, -0.001, -0.011
  0.012, -0.021,  0.003, -0.007, -0.026, -0.027, -0.006, -0.010,  0.007
      0, -0.044, -0.039, -0.004, -0.004, -0.009,  0.009,  0.029,      0
      0,      0, -0.045, -0.025, -0.049,  0.000,  0.020,      0,      0
